Sexo;Edad;Provincias;Periodo;Total
Ambos sexos;Total;08 Barcelona;1 de enero de 2004;5.052.806,687057
Ambos sexos;Total;08 Barcelona;1 de enero de 2003;4.956.071,793643
Ambos sexos;Total;48 Bizkaia;1 de enero de 2022;1.133.681,437875
Ambos sexos;Total;48 Bizkaia;1 de enero de 2021;1.139.871,329442
Ambos sexos;Total;48 Bizkaia;1 de enero de 2020;1.142.713,253360
Ambos sexos;Total;48 Bizkaia;1 de enero de 2019;1.137.190,461442
Ambos sexos;Total;48 Bizkaia;1 de enero de 2018;1.134.847,846514
Ambos sexos;Total;48 Bizkaia;1 de enero de 2017;1.134.491,244401
Ambos sexos;Total;48 Bizkaia;1 de enero de 2016;1.134.370,442460
Ambos sexos;Total;48 Bizkaia;1 de enero de 2015;1.137.120,181373
Ambos sexos;Total;48 Bizkaia;1 de enero de 2014;1.140.285,176013
Ambos sexos;Total;48 Bizkaia;1 de enero de 2013;1.148.871,332760
Ambos sexos;Total;48 Bizkaia;1 de enero de 2012;1.155.708,733723
Ambos sexos;Total;48 Bizkaia;1 de enero de 2011;1.156.030,373411
Ambos sexos;Total;48 Bizkaia;1 de enero de 2010;1.155.817,727719
Ambos sexos;Total;48 Bizkaia;1 de enero de 2009;1.154.627,562351
Ambos sexos;Total;48 Bizkaia;1 de enero de 2008;1.149.083,985105
Ambos sexos;Total;48 Bizkaia;1 de enero de 2007;1.142.686,436545
Ambos sexos;Total;48 Bizkaia;1 de enero de 2006;1.136.766,205720
Ambos sexos;Total;48 Bizkaia;1 de enero de 2005;1.132.162,781650
Ambos sexos;Total;48 Bizkaia;1 de enero de 2004;1.128.048,699144
Ambos sexos;Total;48 Bizkaia;1 de enero de 2003;1.125.115,357911
Ambos sexos;Total;09 Burgos;1 de enero de 2022;352.990,808381
Ambos sexos;Total;09 Burgos;1 de enero de 2021;354.296,563915
Ambos sexos;Total;09 Burgos;1 de enero de 2020;355.693,221585
Ambos sexos;Total;09 Burgos;1 de enero de 2019;355.428,851967
Ambos sexos;Total;09 Burgos;1 de enero de 2018;356.080,090111
Ambos sexos;Total;09 Burgos;1 de enero de 2017;357.615,959330
Ambos sexos;Total;09 Burgos;1 de enero de 2016;359.871,974783
Ambos sexos;Total;09 Burgos;1 de enero de 2015;362.912,608286
Ambos sexos;Total;09 Burgos;1 de enero de 2014;365.295,533174
Ambos sexos;Total;09 Burgos;1 de enero de 2013;368.700,827524
Ambos sexos;Total;09 Burgos;1 de enero de 2012;372.190,478084
Ambos sexos;Total;09 Burgos;1 de enero de 2011;373.251,769967
